age,monthly_income,employment_type,credit_score,existing_credit_cards,avg_monthly_spend,repayment_ratio,missed_payments_last_6m,loan_accounts,location_tier,recommended_credit_limit,spend_to_income_ratio,missed_payment_flag,credit_category,income_category,age_bucket
42,33724.0,Self-Employed,724.0,0,22287.0,0.89,0,0,Tier 3,47690,0.6608646661131539,1,Good,Low,Adult
33,43398.0,Salaried,846.0,1,15400.0,0.74,1,1,Tier 2,88833,0.354855062445274,1,Excellent,Medium,Adult
30,34922.0,Salaried,647.0,1,12482.0,0.68,0,2,Tier 2,44112,0.35742511883626366,1,Fair,Low,Adult
28,29408.0,Salaried,615.0,2,20454.0,0.66,0,1,Tier 1,36667,0.6955250272034821,1,Fair,Low,Young
40,91476.0,Salaried,657.0,2,28414.0,0.84,1,2,Tier 1,119384,0.31061699243517427,1,Fair,High,Adult
40,98539.0,Self-Employed,580.0,3,42097.0,0.56,0,2,Tier 2,115564,0.42721156090481943,1,Fair,High,Adult
35,31521.0,Self-Employed,777.0,1,8027.0,0.85,0,4,Tier 1,72966,0.25465562640779166,1,Excellent,Low,Adult
33,65478.0,Salaried,769.0,0,21981.0,1.0,0,0,Tier 1,163695,0.33570054063960414,0,Excellent,Medium,Adult
26,50635.0,Salaried,726.0,3,30416.0,0.64,0,2,Tier 1,62328,0.6006912214871136,1,Good,Medium,Young
30,15000.0,Salaried,617.0,0,10035.0,0.75,0,1,Tier 3,19720,0.669,1,Fair,Low,Adult
23,67967.0,Salaried,809.0,2,41911.0,0.96,0,1,Tier 3,166631,0.6166374858387158,0,Excellent,Medium,Young
42,107081.0,Self-Employed,670.0,1,60972.0,0.73,1,1,Tier 3,131049,0.5694007340237764,1,Good,High,Adult
38,46567.0,Salaried,807.0,1,22954.0,0.9,1,0,Tier 1,104751,0.49292417377112546,0,Excellent,Medium,Adult
45,60734.0,Self-Employed,682.0,1,36664.0,0.7,3,0,Tier 3,63702,0.6036816280831165,1,Good,Medium,Adult
29,69934.0,Self-Employed,845.0,0,24659.0,0.78,1,0,Tier 1,146849,0.3526038836617382,1,Excellent,Medium,Young
31,49218.0,Salaried,710.0,1,12498.0,0.86,0,2,Tier 2,68660,0.25393148847982444,1,Good,Medium,Adult
34,79646.0,Salaried,637.0,1,18459.0,0.75,1,0,Tier 2,98665,0.23176305150290033,1,Fair,Medium,Adult
37,40931.0,Salaried,712.0,1,19465.0,0.73,0,2,Tier 3,53025,0.47555642422613664,1,Good,Medium,Adult
31,87172.0,Self-Employed,651.0,2,34213.0,0.86,1,1,Tier 2,114975,0.39247694213738354,1,Fair,High,Adult
44,47544.0,Salaried,727.0,0,32965.0,0.96,0,1,Tier 1,69928,0.6933577317852936,0,Good,Medium,Adult
31,30514.0,Salaried,657.0,3,17248.0,0.65,0,2,Tier 1,37839,0.5652487382840663,1,Fair,Low,Adult
25,58211.0,Salaried,658.0,0,15142.0,0.66,2,2,Tier 2,63897,0.2601226572297332,1,Fair,Medium,Young
32,64951.0,Self-Employed,767.0,3,34556.0,0.8,0,1,Tier 3,145799,0.5320318393866146,1,Excellent,Medium,Adult
29,55763.0,Salaried,759.0,0,21385.0,0.88,1,2,Tier 1,123732,0.38349801839929704,1,Excellent,Medium,Young
32,44314.0,Salaried,780.0,0,21078.0,0.78,1,0,Tier 1,92952,0.47565103579004375,1,Excellent,Medium,Adult
32,15000.0,Salaried,744.0,2,3833.0,0.67,1,0,Tier 2,17617,0.25553333333333333,1,Excellent,Low,Adult
27,99918.0,Self-Employed,814.0,3,21204.0,0.73,1,5,Tier 1,203581,0.21221401549270402,1,Excellent,High,Young
32,42390.0,Salaried,654.0,3,12933.0,0.38,1,1,Tier 3,40693,0.3050955414012739,1,Fair,Medium,Adult
32,109162.0,Self-Employed,593.0,2,59823.0,0.58,0,3,Tier 3,129580,0.5480203733900075,1,Fair,High,Adult
39,56224.0,Salaried,637.0,3,16285.0,0.79,1,4,Tier 2,71347,0.28964499146272055,1,Fair,Medium,Adult
35,61579.0,Salaried,756.0,3,31334.0,0.82,2,1,Tier 2,124523,0.5088423001347863,1,Excellent,Medium,Adult
40,79138.0,Salaried,758.0,0,55126.0,0.92,0,5,Tier 3,189601,0.6965806565745912,0,Excellent,Medium,Adult
29,62328.0,Salaried,754.0,2,27891.0,0.88,0,1,Tier 1,146278,0.44748748556026186,1,Excellent,Medium,Young
24,106266.0,Self-Employed,801.0,3,50935.0,0.86,0,2,Tier 3,247368,0.47931605593510623,1,Excellent,High,Young
45,15000.0,Salaried,632.0,2,8888.0,0.72,0,4,Tier 2,19395,0.5925333333333334,1,Fair,Low,Adult
45,47159.0,Salaried,648.0,0,32122.0,0.72,2,2,Tier 3,53623,0.6811425178650947,1,Fair,Medium,Adult
21,44242.0,Salaried,739.0,0,14011.0,0.93,1,2,Tier 3,60584,0.3166900230550156,0,Good,Medium,Young
53,88955.0,Salaried,700.0,2,44821.0,0.59,0,1,Tier 3,105749,0.5038615030071384,1,Good,High,Senior
38,60434.0,Salaried,505.0,0,17244.0,0.65,0,2,Tier 1,74894,0.2853360691001754,1,Poor,Medium,Adult
43,61940.0,Salaried,716.0,2,36133.0,0.61,0,2,Tier 1,74756,0.5833548595414918,1,Good,Medium,Adult
22,71791.0,Salaried,900.0,2,30672.0,1.0,0,2,Tier 3,179476,0.4272401833098856,0,Excellent,Medium,Young
46,43315.0,Salaried,777.0,2,12258.0,0.79,1,3,Tier 3,91752,0.28299665242987415,1,Excellent,Medium,Adult
34,61720.0,Self-Employed,692.0,0,30480.0,0.73,1,1,Tier 3,75414,0.4938431626701231,1,Good,Medium,Adult
28,19937.0,Self-Employed,743.0,3,9846.0,0.72,0,6,Tier 2,25692,0.4938556452826403,1,Excellent,Low,Young
38,47774.0,Salaried,743.0,1,32538.0,0.8,2,2,Tier 2,57250,0.6810817599531126,1,Excellent,Medium,Adult
35,77825.0,Self-Employed,758.0,3,41913.0,0.99,0,1,Tier 3,193851,0.5385544490844845,0,Excellent,Medium,Adult
35,68721.0,Salaried,782.0,3,16888.0,0.71,0,1,Tier 3,147022,0.2457472970416612,1,Excellent,Medium,Adult
43,40918.0,Self-Employed,621.0,3,16910.0,0.71,3,1,Tier 1,43139,0.4132655555012464,1,Fair,Medium,Adult
42,45244.0,Salaried,757.0,0,13246.0,0.97,0,1,Tier 2,111544,0.2927681018477588,0,Excellent,Medium,Adult
24,15531.0,Salaried,710.0,0,5874.0,0.78,2,2,Tier 3,18460,0.3782113192968901,1,Good,Low,Young
32,71451.0,Salaried,834.0,3,46784.0,0.93,1,1,Tier 3,163508,0.6547704020937426,0,Excellent,Medium,Adult
43,70782.0,Salaried,762.0,3,18672.0,0.87,0,3,Tier 3,165848,0.263795880308553,1,Excellent,Medium,Adult
36,38655.0,Self-Employed,862.0,2,15571.0,0.91,0,2,Tier 3,92326,0.40281981632389086,0,Excellent,Low,Adult
33,36626.0,Salaried,795.0,2,8775.0,0.68,0,2,Tier 2,77133,0.2395839021460165,1,Excellent,Low,Adult
39,63193.0,Salaried,686.0,1,14846.0,0.67,0,0,Tier 2,78995,0.23493108413906605,1,Good,Medium,Adult
31,40378.0,Salaried,649.0,1,10214.0,0.76,2,0,Tier 1,47187,0.25295953241864383,1,Fair,Medium,Adult
54,94592.0,Self-Employed,704.0,2,53932.0,0.95,0,2,Tier 2,138579,0.5701539242219216,0,Good,High,Senior
33,64003.0,Salaried,763.0,0,40943.0,1.0,0,1,Tier 3,160008,0.6397043888567724,0,Excellent,Medium,Adult
32,94723.0,Self-Employed,706.0,0,64727.125,0.76,2,0,Tier 1,110788,0.6833306060829999,1,Good,High,Adult
38,54684.0,Salaried,723.0,1,28338.0,0.85,0,1,Tier 1,75759,0.5182137371077463,1,Good,Medium,Adult
29,37033.0,Self-Employed,774.0,0,8051.0,0.7,2,3,Tier 3,69338,0.21740069667593767,1,Excellent,Low,Young
33,130640.625,Self-Employed,866.0,1,59700.0,1.0,0,2,Tier 2,332999,0.4569788302834589,0,Excellent,High,Adult
21,58833.0,Salaried,605.0,0,22694.0,0.84,0,0,Tier 3,81254,0.38573589652066015,1,Fair,Medium,Young
26,83855.0,Self-Employed,718.0,1,17115.0,0.85,0,0,Tier 1,116089,0.20410231948005486,1,Good,High,Young
31,69782.0,Self-Employed,629.0,3,21429.0,0.68,0,2,Tier 1,88009,0.3070849216130234,1,Fair,Medium,Adult
26,44859.0,Salaried,794.0,0,24372.0,1.0,0,2,Tier 1,112148,0.5433023473550458,0,Excellent,Medium,Young
54,130640.625,Self-Employed,754.0,0,64727.125,0.76,3,1,Tier 1,261135,0.49545939480923334,1,Excellent,High,Senior
35,37495.0,Self-Employed,772.0,3,19454.0,1.0,1,1,Tier 1,89049,0.518842512334978,0,Excellent,Low,Adult
28,91082.0,Self-Employed,748.0,3,40792.0,0.94,0,3,Tier 1,132564,0.44786016995674227,0,Excellent,High,Young
31,62570.0,Salaried,628.0,2,25800.0,0.73,2,1,Tier 1,72011,0.41233818123701454,1,Fair,Medium,Adult
21,53606.0,Salaried,654.0,2,26786.0,0.57,0,2,Tier 1,62983,0.4996828713203746,1,Fair,Medium,Young
40,92918.0,Self-Employed,717.0,1,51471.0,0.72,2,0,Tier 2,105935,0.5539400331475064,1,Good,High,Adult
35,37663.0,Self-Employed,668.0,1,16795.0,0.84,0,2,Tier 2,51887,0.4459283647080689,1,Fair,Low,Adult
34,96713.0,Self-Employed,726.0,1,60273.0,0.75,2,0,Tier 1,112519,0.6232150796687105,1,Good,High,Adult
41,36269.0,Salaried,813.0,2,9849.0,0.86,0,2,Tier 1,84338,0.2715542198571783,1,Excellent,Low,Adult
39,48349.0,Salaried,714.0,3,17926.0,0.79,1,1,Tier 3,61442,0.3707625804049722,1,Good,Medium,Adult
41,37603.0,Self-Employed,721.0,3,16482.0,0.72,2,3,Tier 2,42948,0.4383160918011861,1,Good,Low,Adult
31,70623.0,Salaried,850.0,2,17200.0,0.95,0,0,Tier 1,172576,0.2435467199071124,0,Excellent,Medium,Adult
40,100236.0,Self-Employed,570.0,3,37201.0,0.6,1,1,Tier 2,112506,0.3711341234686141,1,Poor,High,Adult
43,53591.0,Salaried,679.0,0,10940.0,0.82,0,2,Tier 2,73207,0.20413875464163758,1,Good,Medium,Adult
35,72334.0,Salaried,738.0,0,23216.0,0.84,1,0,Tier 1,94558,0.3209555672297951,1,Good,Medium,Adult
41,56567.0,Self-Employed,900.0,1,15391.0,0.99,1,1,Tier 2,133546,0.27208443085191014,0,Excellent,Medium,Adult
48,76984.0,Salaried,721.0,2,48538.0,0.73,1,2,Tier 1,94073,0.630494648238595,1,Good,Medium,Adult
40,34889.0,Self-Employed,736.0,0,20819.0,0.61,0,0,Tier 3,42117,0.5967210295508613,1,Good,Low,Adult
34,37383.0,Salaried,696.0,2,12569.0,0.75,0,1,Tier 2,48936,0.3362223470561485,1,Good,Low,Adult
21,15000.0,Salaried,745.0,1,4186.0,0.88,1,0,Tier 1,20008,0.2790666666666667,1,Excellent,Low,Young
28,58756.0,Salaried,746.0,0,18086.0,0.83,2,2,Tier 2,71626,0.30781537204711007,1,Excellent,Medium,Young
42,70971.0,Self-Employed,894.0,1,39796.0,0.95,0,2,Tier 3,173223,0.5607360752983613,0,Excellent,Medium,Adult
41,118161.0,Self-Employed,817.0,2,28832.0,0.88,0,1,Tier 3,278190,0.2440060595289478,1,Excellent,High,Adult
30,99329.0,Self-Employed,673.0,1,33085.0,0.81,2,1,Tier 3,119574,0.3330850003523644,1,Good,High,Adult
38,15000.0,Self-Employed,781.0,0,5420.0,0.96,0,2,Tier 3,36835,0.36133333333333334,0,Excellent,Low,Adult
46,57713.0,Salaried,730.0,2,33911.0,0.83,0,2,Tier 1,79023,0.5875799213348812,1,Good,Medium,Adult
39,58468.0,Self-Employed,703.0,3,24253.0,0.59,2,3,Tier 3,60876,0.41480810015735103,1,Good,Medium,Adult
50,79184.0,Salaried,646.0,0,48925.0,0.73,1,3,Tier 3,96859,0.6178647201454839,1,Fair,Medium,Senior
27,51061.0,Salaried,789.0,2,28720.0,1.0,0,1,Tier 2,127652,0.5624645032412213,0,Excellent,Medium,Young
30,56328.0,Salaried,682.0,1,37388.0,0.96,1,3,Tier 3,78645,0.6637551484164181,0,Good,Medium,Adult
21,62665.0,Salaried,688.0,2,27729.0,0.78,1,0,Tier 2,79049,0.44249581105880476,1,Good,Medium,Young
31,41279.0,Self-Employed,654.0,0,19821.0,0.73,1,3,Tier 1,50415,0.48017151578284356,1,Fair,Medium,Adult
35,55665.0,Self-Employed,716.0,1,22189.0,0.85,0,2,Tier 1,77383,0.39861672505164825,1,Good,Medium,Adult
21,85619.0,Self-Employed,706.0,1,47567.0,0.85,2,1,Tier 2,106036,0.555565937467151,1,Good,High,Young
47,71028.0,Self-Employed,585.0,2,15289.0,0.6,1,4,Tier 2,80069,0.21525313960691558,1,Fair,Medium,Adult
31,93696.0,Self-Employed,772.0,3,53769.0,1.0,0,2,Tier 3,234239,0.5738665471311475,0,Excellent,High,Adult
50,47728.0,Self-Employed,710.0,2,21188.0,0.8,1,0,Tier 1,60900,0.44393228293664094,1,Good,Medium,Senior
26,116653.0,Self-Employed,729.0,1,53818.0,0.76,2,1,Tier 1,136267,0.4613511868533171,1,Good,High,Young
21,100150.0,Salaried,859.0,0,43116.0,0.93,0,5,Tier 2,241127,0.4305142286570145,0,Excellent,High,Young
37,88845.0,Self-Employed,849.0,2,48388.0,1.0,0,1,Tier 2,222112,0.544633912994541,0,Excellent,High,Adult
48,31889.0,Self-Employed,812.0,2,14052.0,0.76,0,3,Tier 2,70334,0.44065351688670074,1,Excellent,Low,Adult
39,35336.0,Salaried,721.0,2,21805.0,0.74,2,1,Tier 2,40839,0.6170760697305864,1,Good,Low,Adult
40,82786.0,Salaried,806.0,0,33189.0,0.92,1,3,Tier 2,188345,0.40090111854661414,0,Excellent,High,Adult
48,42060.0,Salaried,670.0,2,17632.0,0.88,0,2,Tier 2,59353,0.41921065145030906,1,Good,Medium,Adult
43,15000.0,Salaried,602.0,3,3855.0,0.79,2,3,Tier 1,17864,0.257,1,Fair,Low,Adult
45,48645.0,Salaried,817.0,2,14740.0,0.92,0,1,Tier 3,116898,0.3030116147599959,0,Excellent,Medium,Adult
35,130640.625,Self-Employed,623.0,2,58344.0,0.89,1,2,Tier 3,178818,0.44659921062073915,1,Fair,High,Adult
32,75071.0,Salaried,856.0,3,26956.0,0.79,2,1,Tier 3,149314,0.3590734105047222,1,Excellent,Medium,Adult
48,68099.0,Salaried,701.0,1,26693.0,0.76,0,3,Tier 3,89966,0.39197345041777415,1,Good,Medium,Adult
34,25134.0,Self-Employed,812.0,1,6616.0,0.88,1,0,Tier 2,55869,0.26322909206652345,1,Excellent,Low,Adult
27,69326.0,Self-Employed,789.0,3,29473.0,0.81,0,1,Tier 2,157203,0.4251363124945908,1,Excellent,Medium,Young
28,88636.0,Self-Employed,674.0,0,51294.0,0.66,1,1,Tier 1,103711,0.5787039126314364,1,Good,High,Young
28,49162.0,Salaried,712.0,0,16719.0,0.75,0,2,Tier 3,64381,0.34007973638175826,1,Good,Medium,Young
42,23300.0,Salaried,789.0,2,16271.0,0.88,1,4,Tier 3,51843,0.6983261802575107,1,Excellent,Low,Adult
46,51319.0,Salaried,597.0,3,24347.0,0.9,3,1,Tier 1,61592,0.47442467702020696,0,Fair,Medium,Adult
47,49771.0,Self-Employed,785.0,3,18431.0,0.87,1,1,Tier 2,110015,0.3703160474975387,1,Excellent,Medium,Adult
24,31991.0,Salaried,833.0,1,15280.0,1.0,0,0,Tier 1,79977,0.4776343346566222,0,Excellent,Low,Young
37,55915.0,Salaried,719.0,3,24109.0,0.77,1,2,Tier 2,69836,0.43117231512116605,1,Good,Medium,Adult
31,24283.0,Salaried,679.0,2,12538.0,0.95,0,2,Tier 3,35560,0.5163282955153812,0,Good,Low,Adult
21,68840.0,Salaried,740.0,0,24943.0,0.67,1,2,Tier 2,81116,0.3623329459616502,1,Excellent,Medium,Young
50,60518.0,Self-Employed,745.0,3,37955.0,0.85,1,0,Tier 1,79380,0.627168776231865,1,Excellent,Medium,Senior
27,38014.0,Salaried,778.0,2,19296.0,1.0,1,2,Tier 2,90282,0.5076024622507497,0,Excellent,Low,Young
44,99518.0,Self-Employed,701.0,2,34731.0,0.59,3,4,Tier 3,96386,0.3489921421250427,1,Good,High,Adult
35,27913.0,Self-Employed,790.0,2,16249.0,0.77,1,0,Tier 3,58273,0.5821301902339412,1,Excellent,Low,Adult
31,15000.0,Salaried,763.0,0,4254.0,0.71,1,1,Tier 1,30100,0.2836,1,Excellent,Low,Adult
38,88951.0,Self-Employed,695.0,1,46317.0,0.72,1,0,Tier 3,108058,0.5207024091915774,1,Good,High,Adult
42,16581.0,Self-Employed,840.0,0,11185.0,0.86,1,2,Tier 3,36486,0.6745672757975997,1,Excellent,Low,Adult
33,60216.0,Salaried,592.0,1,33011.0,0.63,1,1,Tier 1,69238,0.548209778132058,1,Fair,Medium,Adult
44,37886.0,Salaried,717.0,2,25963.0,0.7,0,2,Tier 3,48304,0.6852927202660614,1,Good,Low,Adult
42,37884.0,Salaried,703.0,1,20329.0,0.73,1,2,Tier 3,46228,0.5366117622215183,1,Good,Low,Adult
37,15000.0,Self-Employed,735.0,0,6488.0,0.89,0,4,Tier 2,21230,0.4325333333333333,1,Good,Low,Adult
35,103083.0,Self-Employed,817.0,3,28873.0,1.0,0,1,Tier 3,257706,0.2800946809852255,0,Excellent,High,Adult
34,54517.0,Self-Employed,889.0,3,24405.0,1.0,0,2,Tier 2,136291,0.4476585285323844,0,Excellent,Medium,Adult
36,62593.0,Salaried,725.0,3,18135.0,0.74,1,2,Tier 1,76985,0.28972888342146885,1,Good,Medium,Adult
27,123487.0,Self-Employed,700.0,0,57387.0,0.62,3,2,Tier 2,121835,0.4647209827755148,1,Good,High,Young
30,109997.0,Self-Employed,653.0,2,64727.125,0.68,0,0,Tier 2,138666,0.5884444575761157,1,Fair,High,Adult
37,107825.0,Self-Employed,769.0,1,23387.0,0.73,0,1,Tier 2,233097,0.216897750985393,1,Excellent,High,Adult
33,47673.0,Salaried,679.0,1,19460.0,0.88,0,2,Tier 1,67278,0.40819751221865624,1,Good,Medium,Adult
35,101745.0,Self-Employed,757.0,2,25788.0,1.0,0,1,Tier 3,254362,0.2534571723426213,0,Excellent,High,Adult
33,65520.0,Salaried,623.0,0,36360.0,0.69,2,1,Tier 2,73184,0.554945054945055,1,Fair,Medium,Adult
41,65792.0,Self-Employed,677.0,0,24252.0,0.85,0,0,Tier 2,91259,0.3686162451361868,1,Good,Medium,Adult
25,18731.0,Self-Employed,640.0,0,3879.0,0.69,0,2,Tier 1,23673,0.20708985104906305,1,Fair,Low,Young
29,37428.0,Self-Employed,722.0,0,21315.0,0.65,1,1,Tier 2,43601,0.5694934273805707,1,Good,Low,Young
22,50870.0,Salaried,791.0,3,30215.0,0.87,0,1,Tier 2,119116,0.5939650088460783,1,Excellent,Medium,Young
33,89876.0,Self-Employed,654.0,0,49419.0,0.76,0,5,Tier 2,118889,0.5498575815568116,1,Fair,High,Adult
21,62977.0,Self-Employed,577.0,3,41497.0,0.75,1,2,Tier 2,78122,0.6589230989091256,1,Poor,Medium,Young
29,37187.0,Salaried,745.0,3,19799.0,0.74,1,1,Tier 3,45684,0.5324172425847743,1,Excellent,Low,Young
35,87217.0,Self-Employed,636.0,0,21520.0,0.58,1,2,Tier 2,96908,0.24674088767098157,1,Fair,High,Adult
41,40114.0,Salaried,666.0,2,12533.0,1.0,1,3,Tier 3,57162,0.31243456149972576,0,Fair,Medium,Adult
30,105858.0,Self-Employed,585.0,2,27420.0,0.64,1,2,Tier 1,122082,0.25902624270248825,1,Fair,High,Adult
35,59927.0,Self-Employed,630.0,1,29363.0,0.49,1,2,Tier 2,62615,0.4899794750279507,1,Fair,Medium,Adult
28,15000.0,Self-Employed,638.0,2,4923.0,0.74,0,1,Tier 2,19575,0.3282,1,Fair,Low,Young
40,65196.0,Salaried,652.0,1,30381.0,0.78,0,2,Tier 1,87111,0.46599484630958954,1,Fair,Medium,Adult
25,49999.0,Salaried,809.0,1,13522.0,0.96,0,0,Tier 3,122571,0.27044540890817814,0,Excellent,Medium,Young
28,20003.0,Salaried,719.0,1,6719.0,0.85,1,2,Tier 2,26285,0.33589961505774135,1,Good,Low,Young
26,63129.0,Salaried,563.0,2,30784.0,0.61,0,2,Tier 1,76375,0.48763642699868526,1,Poor,Medium,Young
23,118236.0,Self-Employed,792.0,3,24732.0,0.98,0,0,Tier 3,293101,0.20917487059778747,0,Excellent,High,Young
25,108298.0,Self-Employed,725.0,1,57364.0,0.94,0,3,Tier 3,157445,0.5296866054774788,0,Good,High,Young
24,48111.0,Self-Employed,776.0,2,16105.0,0.9,1,3,Tier 3,107978,0.334746731516701,0,Excellent,Medium,Young
30,46552.0,Salaried,581.0,3,28458.0,0.56,1,1,Tier 1,51131,0.6113163773844303,1,Fair,Medium,Adult
28,82744.0,Salaried,605.0,3,31660.0,0.83,3,0,Tier 1,94935,0.3826259305810693,1,Fair,High,Young
34,59432.0,Salaried,837.0,0,13019.0,1.0,2,0,Tier 2,133722,0.21905707363036747,0,Excellent,Medium,Adult
50,37375.0,Salaried,767.0,1,9920.0,0.92,1,3,Tier 2,84860,0.2654180602006689,0,Excellent,Low,Senior
31,90349.0,Self-Employed,690.0,2,52623.0,0.77,0,3,Tier 1,119722,0.5824414215984681,1,Good,High,Adult
36,79357.0,Salaried,717.0,1,34747.0,0.95,0,2,Tier 2,116093,0.43785677381957483,0,Good,Medium,Adult
45,82519.0,Self-Employed,680.0,2,31296.0,0.71,3,0,Tier 2,87416,0.3792581102533962,1,Good,High,Adult
36,52160.0,Salaried,900.0,3,27278.0,1.0,0,0,Tier 1,130399,0.522967791411043,0,Excellent,Medium,Adult
21,41942.0,Self-Employed,684.0,2,16784.0,0.85,0,3,Tier 1,58206,0.4001716656334939,1,Good,Medium,Young
24,74329.0,Self-Employed,573.0,1,24654.0,0.68,0,0,Tier 1,93759,0.3316874974774314,1,Poor,Medium,Young
45,91760.0,Self-Employed,788.0,2,44713.0,0.9,1,2,Tier 3,206496,0.48728204010462073,0,Excellent,High,Adult
42,52631.0,Self-Employed,648.0,3,29396.0,0.82,0,3,Tier 1,71748,0.5585301438315822,1,Fair,Medium,Adult
39,46818.0,Self-Employed,519.0,3,18991.0,0.56,3,1,Tier 3,44112,0.40563458498867955,1,Poor,Medium,Adult
31,54354.0,Salaried,654.0,3,23141.0,0.56,2,1,Tier 1,55383,0.42574603525039556,1,Fair,Medium,Adult
21,110629.0,Self-Employed,805.0,3,64727.125,0.96,3,2,Tier 1,229428,0.5850827992660153,0,Excellent,High,Young
27,32084.0,Self-Employed,797.0,3,10483.0,0.76,1,2,Tier 2,66772,0.32673606782196735,1,Excellent,Low,Young
40,44646.0,Salaried,831.0,3,16039.0,1.0,2,2,Tier 2,100454,0.3592483089190521,0,Excellent,Medium,Adult
38,121269.0,Self-Employed,761.0,0,30901.0,0.79,0,2,Tier 1,270937,0.2548136786812788,1,Excellent,High,Adult
23,66816.0,Self-Employed,817.0,0,26385.0,1.0,0,2,Tier 2,167039,0.39489044540229884,0,Excellent,Medium,Young
45,53333.0,Salaried,804.0,0,19328.0,0.87,0,2,Tier 1,124836,0.36240226501415634,1,Excellent,Medium,Adult
26,83635.0,Self-Employed,658.0,1,34937.0,0.81,1,3,Tier 2,107476,0.41773181084474204,1,Fair,High,Young
39,107653.0,Self-Employed,774.0,1,62411.0,0.89,1,1,Tier 3,241345,0.5797423202325992,1,Excellent,High,Adult
39,15000.0,Self-Employed,854.0,2,10245.0,1.0,1,0,Tier 2,35625,0.683,0,Excellent,Low,Adult
45,79022.0,Self-Employed,781.0,0,42365.0,0.74,1,1,Tier 3,162205,0.5361165245121612,1,Excellent,Medium,Adult
28,68187.0,Salaried,601.0,3,29637.0,0.64,0,4,Tier 1,83764,0.4346429671344978,1,Fair,Medium,Young
47,15000.0,Self-Employed,900.0,0,6357.0,1.0,0,1,Tier 1,37500,0.4238,0,Excellent,Low,Adult
32,116615.0,Self-Employed,786.0,1,49723.0,0.92,1,2,Tier 2,265775,0.42638597092998326,0,Excellent,High,Adult
51,44184.0,Self-Employed,667.0,1,18605.0,0.88,0,1,Tier 3,62176,0.4210800289697628,1,Fair,Medium,Senior
28,71047.0,Self-Employed,708.0,2,16451.0,0.82,0,1,Tier 1,96796,0.2315509451489859,1,Good,Medium,Young
41,57856.0,Self-Employed,810.0,1,28613.0,0.81,0,3,Tier 2,130580,0.49455544800884954,1,Excellent,Medium,Adult
46,15000.0,Self-Employed,701.0,2,7062.0,0.89,0,1,Tier 2,21246,0.4708,1,Good,Low,Adult
28,31731.0,Salaried,718.0,0,9070.0,0.82,0,1,Tier 1,43351,0.2858403454035486,1,Good,Low,Young
50,102392.0,Self-Employed,830.0,2,21257.0,0.84,0,0,Tier 3,234876,0.20760410969607002,1,Excellent,High,Senior
28,38835.0,Salaried,716.0,1,8048.0,0.83,1,0,Tier 3,50337,0.2072357409553238,1,Good,Low,Young
44,37323.0,Salaried,704.0,3,24150.0,0.78,0,2,Tier 1,49693,0.6470540953299574,1,Good,Low,Adult
42,21172.0,Salaried,684.0,3,6688.0,0.97,0,2,Tier 2,31314,0.3158889098809749,0,Good,Low,Adult
34,25567.0,Salaried,549.0,2,16282.0,0.57,0,1,Tier 1,30106,0.6368365471115109,1,Poor,Low,Adult
50,127769.0,Self-Employed,631.0,0,64727.125,0.67,1,4,Tier 1,150299,0.5065949095633526,1,Fair,High,Senior
32,90064.0,Salaried,737.0,2,21874.0,0.98,1,1,Tier 1,127317,0.2428717356546456,0,Good,High,Adult
31,39373.0,Salaried,648.0,0,14203.0,0.68,1,0,Tier 1,46586,0.3607294338760064,1,Fair,Low,Adult
35,105650.0,Self-Employed,721.0,0,57100.0,0.67,1,1,Tier 2,124714,0.5404637955513488,1,Good,High,Adult
28,124309.0,Self-Employed,751.0,2,64727.125,0.77,1,3,Tier 2,259900,0.5206954041943865,1,Excellent,High,Young
28,30731.0,Salaried,574.0,1,6406.0,0.5,1,2,Tier 1,32274,0.20845400410009438,1,Poor,Low,Young
56,89813.0,Self-Employed,708.0,2,18491.0,0.79,1,5,Tier 1,113895,0.2058833353746117,1,Good,High,Senior
42,72436.0,Salaried,679.0,0,36637.0,0.83,1,1,Tier 3,93810,0.5057844165884366,1,Good,Medium,Adult
33,41098.0,Self-Employed,565.0,0,16635.0,0.69,1,0,Tier 1,49137,0.40476422210326535,1,Poor,Medium,Adult
42,40947.0,Salaried,733.0,1,21652.0,0.83,0,3,Tier 1,56323,0.528781107285027,1,Good,Medium,Adult
27,45950.0,Salaried,733.0,0,32117.0,0.9,1,3,Tier 1,62112,0.6989553862894451,0,Good,Medium,Young
21,56729.0,Self-Employed,621.0,3,38017.0,0.85,0,3,Tier 2,78566,0.6701510691180877,1,Fair,Medium,Young
34,40116.0,Salaried,601.0,2,12691.0,0.78,2,1,Tier 2,47423,0.3163575630671054,1,Fair,Medium,Adult
33,35681.0,Salaried,795.0,2,14316.0,1.0,2,0,Tier 2,80282,0.4012219388470054,0,Excellent,Low,Adult
34,103610.0,Salaried,686.0,3,56428.0,0.69,1,0,Tier 3,123314,0.5446192452465978,1,Good,High,Adult
45,62271.0,Salaried,839.0,3,14247.0,0.88,0,1,Tier 3,146095,0.22879028761381703,1,Excellent,Medium,Adult
42,118003.0,Self-Employed,842.0,0,45138.0,0.94,0,2,Tier 3,285609,0.3825156987534215,0,Excellent,High,Adult
42,64920.0,Salaried,668.0,3,14595.0,0.78,1,0,Tier 3,81947,0.224815157116451,1,Fair,Medium,Adult
35,52154.0,Salaried,799.0,3,27287.0,0.82,2,2,Tier 3,105867,0.5232005215323848,1,Excellent,Medium,Adult
